Country,Sectors,Year,Emissions,% Difference in Emissions,Difference in Emissions,Absolute change since 1990,Percentage change since 1990,Index (1990=100)
Spain,Industry,2009,"68,256,082",-18.02%,"-15,006,751","1,304,639",1.95%,102
Spain,Industry,2010,"71,010,981",4.04%,"2,754,899","4,059,538",6.06%,106
Spain,Industry,2011,"65,907,870",-7.19%,"-5,103,111","-1,043,574",-1.56%,98
Spain,Industry,2012,"62,886,863",-4.58%,"-3,021,007","-4,064,580",-6.07%,94
Spain,Industry,2013,"58,578,467",-6.85%,"-4,308,396","-8,372,976",-12.51%,87
Spain,Industry,2014,"58,023,213",-0.95%,"-555,254","-8,928,231",-13.34%,87
Spain,Industry,2015,"59,880,797",3.20%,"1,857,584","-7,070,646",-10.56%,89
Spain,Industry,2016,"59,968,082",0.15%,"87,284","-6,983,362",-10.43%,90
Spain,Industry,2017,"63,047,763",5.14%,"3,079,681","-3,903,680",-5.83%,94
Spain,Industry,2018,"65,550,924",3.97%,"2,503,161","-1,400,519",-2.09%,98
Spain,Industry,2019,"63,918,050",-2.49%,"-1,632,874","-3,033,393",-4.53%,95
Spain,Industry,2020,"56,284,103",-11.94%,"-7,633,947","-10,667,340",-15.93%,84
Spain,International Aviation,1990,"4,741,205",-91.58%,"-51,542,899",0,0.00%,100
Spain,International Aviation,1991,"5,235,265",10.42%,"494,060","494,060",10.42%,110
Spain,International Aviation,1992,"5,775,892",10.33%,"540,628","1,034,688",21.82%,122
Spain,International Aviation,1993,"5,681,088",-1.64%,"-94,804","939,883",19.82%,120
Spain,International Aviation,1994,"6,059,967",6.67%,"378,879","1,318,762",27.81%,128
Spain,International Aviation,1995,"6,634,143",9.47%,"574,176","1,892,938",39.93%,140
Spain,International Aviation,1996,"7,188,715",8.36%,"554,572","2,447,510",51.62%,152
Spain,International Aviation,1997,"7,669,400",6.69%,"480,685","2,928,195",61.76%,162
Spain,International Aviation,1998,"8,155,862",6.34%,"486,461","3,414,657",72.02%,172
Spain,International Aviation,1999,"8,914,584",9.30%,"758,722","4,173,379",88.02%,188
Spain,International Aviation,2000,"9,562,767",7.27%,"648,183","4,821,562",101.69%,202
Spain,International Aviation,2001,"9,744,510",1.90%,"181,743","5,003,305",105.53%,206
Spain,International Aviation,2002,"9,373,273",-3.81%,"-371,237","4,632,068",97.70%,198
Spain,International Aviation,2003,"9,833,740",4.91%,"460,467","5,092,535",107.41%,207
Spain,International Aviation,2004,"10,901,126",10.85%,"1,067,386","6,159,921",129.92%,230
Spain,International Aviation,2005,"11,562,381",6.07%,"661,254","6,821,176",143.87%,244
Spain,International Aviation,2006,"12,035,907",4.10%,"473,527","7,294,703",153.86%,254
Spain,International Aviation,2007,"12,858,152",6.83%,"822,244","8,116,947",171.20%,271
Spain,International Aviation,2008,"12,950,318",0.72%,"92,166","8,209,113",173.14%,273
Spain,International Aviation,2009,"11,958,039",-7.66%,"-992,279","7,216,834",152.22%,252
Spain,International Aviation,2010,"12,608,983",5.44%,"650,945","7,867,779",165.94%,266
Spain,International Aviation,2011,"13,752,773",9.07%,"1,143,790","9,011,568",190.07%,290
Spain,International Aviation,2012,"13,318,442",-3.16%,"-434,331","8,577,237",180.91%,281
Spain,International Aviation,2013,"13,438,300",0.90%,"119,858","8,697,096",183.44%,283
Spain,International Aviation,2014,"14,013,741",4.28%,"575,441","9,272,536",195.57%,296
Spain,International Aviation,2015,"14,534,651",3.72%,"520,910","9,793,446",206.56%,307
Spain,International Aviation,2016,"16,183,680",11.35%,"1,649,029","11,442,475",241.34%,341
Spain,International Aviation,2017,"17,412,079",7.59%,"1,228,399","12,670,874",267.25%,367
Spain,International Aviation,2018,"18,342,936",5.35%,"930,856","13,601,731",286.88%,387
Spain,International Aviation,2019,"18,984,481",3.50%,"641,546","14,243,276",300.41%,400
Spain,International Aviation,2020,"6,423,762",-66.16%,"-12,560,719","1,682,557",35.49%,135
Spain,International shipping,1990,"11,658,597",81.49%,"5,234,834",0,0.00%,100
Spain,International shipping,1991,"12,366,839",6.07%,"708,242","708,242",6.07%,106
Spain,International shipping,1992,"12,524,557",1.28%,"157,718","865,961",7.43%,107
Spain,International shipping,1993,"10,961,944",-12.48%,"-1,562,613","-696,653",-5.98%,94
Spain,International shipping,1994,"9,920,107",-9.50%,"-1,041,837","-1,738,490",-14.91%,85
Spain,International shipping,1995,"10,187,990",2.70%,"267,883","-1,470,607",-12.61%,87
Spain,International shipping,1996,"14,871,431",45.97%,"4,683,441","3,212,834",27.56%,128
Spain,International shipping,1997,"18,338,216",23.31%,"3,466,786","6,679,620",57.29%,157
Spain,International shipping,1998,"19,338,020",5.45%,"999,804","7,679,423",65.87%,166
Spain,International shipping,1999,"18,871,050",-2.41%,"-466,970","7,212,453",61.86%,162
Spain,International shipping,2000,"19,286,464",2.20%,"415,415","7,627,868",65.43%,165
Spain,International shipping,2001,"21,587,593",11.93%,"2,301,128","9,928,996",85.16%,185
Spain,International shipping,2002,"22,104,401",2.39%,"516,809","10,445,805",89.60%,190
Spain,International shipping,2003,"22,533,755",1.94%,"429,354","10,875,159",93.28%,193
Spain,International shipping,2004,"23,223,281",3.06%,"689,526","11,564,684",99.19%,199
Spain,International shipping,2005,"25,499,548",9.80%,"2,276,267","13,840,952",118.72%,219
Spain,International shipping,2006,"26,619,195",4.39%,"1,119,646","14,960,598",128.32%,228
Spain,International shipping,2007,"27,231,086",2.30%,"611,892","15,572,490",133.57%,234
Spain,International shipping,2008,"28,215,870",3.62%,"984,784","16,557,273",142.02%,242
Spain,International shipping,2009,"28,053,157",-0.58%,"-162,713","16,394,560",140.62%,241
Spain,International shipping,2010,"27,031,796",-3.64%,"-1,021,360","15,373,200",131.86%,232
Spain,International shipping,2011,"27,619,786",2.18%,"587,989","15,961,189",136.90%,237
Spain,International shipping,2012,"27,021,428",-2.17%,"-598,358","15,362,831",131.77%,232
Spain,International shipping,2013,"23,246,158",-13.97%,"-3,775,270","11,587,561",99.39%,199
Spain,International shipping,2014,"25,122,339",8.07%,"1,876,181","13,463,743",115.48%,215
Spain,International shipping,2015,"23,939,775",-4.71%,"-1,182,565","12,281,178",105.34%,205
Spain,International shipping,2016,"24,158,139",0.91%,"218,364","12,499,542",107.21%,207
Spain,International shipping,2017,"21,464,829",-11.15%,"-2,693,310","9,806,232",84.11%,184
Spain,International shipping,2018,"22,507,961",4.86%,"1,043,132","10,849,365",93.06%,193
Spain,International shipping,2019,"22,923,002",1.84%,"415,041","11,264,406",96.62%,197
Spain,International shipping,2020,"20,244,841",-11.68%,"-2,678,161","8,586,245",73.65%,174
Spain,"Land Use, Land-Use Change and Forestry",1990,"-36,681,843",-281.19%,"-56,926,684",0,0.00%,100
Spain,"Land Use, Land-Use Change and Forestry",1991,"-36,088,403",1.62%,"593,439","593,439",-1.62%,98
Spain,"Land Use, Land-Use Change and Forestry",1992,"-34,946,415",3.16%,"1,141,989","1,735,428",-4.73%,95
Spain,"Land Use, Land-Use Change and Forestry",1993,"-35,120,630",-0.50%,"-174,216","1,561,212",-4.26%,96
Spain,"Land Use, Land-Use Change and Forestry",1994,"-34,122,109",2.84%,"998,521","2,559,734",-6.98%,93
Spain,"Land Use, Land-Use Change and Forestry",1995,"-35,239,388",-3.27%,"-1,117,280","1,442,454",-3.93%,96
Spain,"Land Use, Land-Use Change and Forestry",1996,"-35,569,098",-0.94%,"-329,710","1,112,745",-3.03%,97
Spain,"Land Use, Land-Use Change and Forestry",1997,"-35,208,078",1.01%,"361,020","1,473,765",-4.02%,96
Spain,"Land Use, Land-Use Change and Forestry",1998,"-35,846,916",-1.81%,"-638,838","834,927",-2.28%,98
Spain,"Land Use, Land-Use Change and Forestry",1999,"-38,792,511",-8.22%,"-2,945,595","-2,110,668",5.75%,106
Spain,"Land Use, Land-Use Change and Forestry",2000,"-40,384,082",-4.10%,"-1,591,572","-3,702,240",10.09%,110
Spain,"Land Use, Land-Use Change and Forestry",2001,"-41,144,437",-1.88%,"-760,355","-4,462,594",12.17%,112
Spain,"Land Use, Land-Use Change and Forestry",2002,"-39,687,133",3.54%,"1,457,304","-3,005,291",8.19%,108
Spain,"Land Use, Land-Use Change and Forestry",2003,"-38,969,127",1.81%,"718,007","-2,287,284",6.24%,106
Spain,"Land Use, Land-Use Change and Forestry",2004,"-38,885,963",0.21%,"83,164","-2,204,120",6.01%,106
Spain,"Land Use, Land-Use Change and Forestry",2005,"-38,489,872",1.02%,"396,091","-1,808,029",4.93%,105
Spain,"Land Use, Land-Use Change and Forestry",2006,"-40,442,771",-5.07%,"-1,952,899","-3,760,928",10.25%,110
Spain,"Land Use, Land-Use Change and Forestry",2007,"-37,891,048",6.31%,"2,551,723","-1,209,206",3.30%,103
Spain,"Land Use, Land-Use Change and Forestry",2008,"-37,470,713",1.11%,"420,336","-788,870",2.15%,102
Spain,"Land Use, Land-Use Change and Forestry",2009,"-35,123,850",6.26%,"2,346,863","1,557,993",-4.25%,96
Spain,"Land Use, Land-Use Change and Forestry",2010,"-37,140,302",-5.74%,"-2,016,453","-458,460",1.25%,101
Spain,"Land Use, Land-Use Change and Forestry",2011,"-37,209,544",-0.19%,"-69,242","-527,702",1.44%,101
Spain,"Land Use, Land-Use Change and Forestry",2012,"-35,554,753",4.45%,"1,654,791","1,127,089",-3.07%,97
Spain,"Land Use, Land-Use Change and Forestry",2013,"-33,972,561",4.45%,"1,582,192","2,709,282",-7.39%,93
Spain,"Land Use, Land-Use Change and Forestry",2014,"-35,883,360",-5.62%,"-1,910,799","798,483",-2.18%,98
Spain,"Land Use, Land-Use Change and Forestry",2015,"-38,490,697",-7.27%,"-2,607,338","-1,808,854",4.93%,105
Spain,"Land Use, Land-Use Change and Forestry",2016,"-38,187,635",0.79%,"303,062","-1,505,792",4.11%,104
Spain,"Land Use, Land-Use Change and Forestry",2017,"-38,687,219",-1.31%,"-499,584","-2,005,376",5.47%,105
Spain,"Land Use, Land-Use Change and Forestry",2018,"-38,358,140",0.85%,"329,079","-1,676,298",4.57%,105
Spain,"Land Use, Land-Use Change and Forestry",2019,"-37,333,289",2.67%,"1,024,852","-651,446",1.78%,102
Spain,"Land Use, Land-Use Change and Forestry",2020,"-35,919,891",3.79%,"1,413,397","761,951",-2.08%,98
Spain,Other combustion,1990,"8,992,911",125.04%,"44,912,802",0,0.00%,100
Spain,Other combustion,1991,"9,313,011",3.56%,"320,100","320,100",3.56%,104
Spain,Other combustion,1992,"9,603,508",3.12%,"290,497","610,597",6.79%,107
Spain,Other combustion,1993,"9,609,846",0.07%,"6,338","616,935",6.86%,107
Spain,Other combustion,1994,"9,654,826",0.47%,"44,980","661,915",7.36%,107
Spain,Other combustion,1995,"9,639,500",-0.16%,"-15,326","646,589",7.19%,107
Spain,Other combustion,1996,"9,686,413",0.49%,"46,913","693,503",7.71%,108
Spain,Other combustion,1997,"9,719,113",0.34%,"32,700","726,202",8.08%,108
Spain,Other combustion,1998,"9,912,721",1.99%,"193,608","919,811",10.23%,110
Spain,Other combustion,1999,"10,296,782",3.87%,"384,061","1,303,872",14.50%,114
Spain,Other combustion,2000,"10,511,036",2.08%,"214,254","1,518,125",16.88%,117
Spain,Other combustion,2001,"10,549,045",0.36%,"38,009","1,556,134",17.30%,117
Spain,Other combustion,2002,"10,689,490",1.33%,"140,446","1,696,580",18.87%,119
Spain,Other combustion,2003,"11,545,908",8.01%,"856,417","2,552,997",28.39%,128
Spain,Other combustion,2004,"11,976,642",3.73%,"430,735","2,983,732",33.18%,133
Spain,Other combustion,2005,"11,618,739",-2.99%,"-357,903","2,625,829",29.20%,129
Spain,Other combustion,2006,"11,675,224",0.49%,"56,485","2,682,313",29.83%,130
Spain,Other combustion,2007,"11,769,691",0.81%,"94,467","2,776,780",30.88%,131
Spain,Other combustion,2008,"11,142,490",-5.33%,"-627,201","2,149,579",23.90%,124
Spain,Other combustion,2009,"10,834,502",-2.76%,"-307,988","1,841,591",20.48%,120
Spain,Other combustion,2010,"11,050,876",2.00%,"216,374","2,057,965",22.88%,123
Spain,Other combustion,2011,"11,807,055",6.84%,"756,179","2,814,144",31.29%,131
Spain,Other combustion,2012,"12,223,844",3.53%,"416,789","3,230,933",35.93%,136
Spain,Other combustion,2013,"12,132,145",-0.75%,"-91,699","3,139,235",34.91%,135
Spain,Other combustion,2014,"13,140,722",8.31%,"1,008,576","4,147,811",46.12%,146
Spain,Other combustion,2015,"11,860,563",-9.74%,"-1,280,159","2,867,652",31.89%,132
Spain,Other combustion,2016,"12,010,249",1.26%,"149,687","3,017,339",33.55%,134
Spain,Other combustion,2017,"11,805,922",-1.70%,"-204,327","2,813,012",31.28%,131
Spain,Other combustion,2018,"12,066,666",2.21%,"260,744","3,073,755",34.18%,134
Spain,Other combustion,2019,"12,111,004",0.37%,"44,338","3,118,093",34.67%,135
Spain,Other combustion,2020,"12,086,103",-0.21%,"-24,901","3,093,193",34.40%,134
Spain,Residential and commercial,1990,"16,613,052",37.46%,"4,526,948",0,0.00%,100
Spain,Residential and commercial,1991,"18,803,644",13.19%,"2,190,592","2,190,592",13.19%,113
Spain,Residential and commercial,1992,"19,309,361",2.69%,"505,717","2,696,309",16.23%,116
Spain,Residential and commercial,1993,"18,517,234",-4.10%,"-792,127","1,904,183",11.46%,111
Spain,Residential and commercial,1994,"19,516,697",5.40%,"999,463","2,903,646",17.48%,117
Spain,Residential and commercial,1995,"19,384,343",-0.68%,"-132,355","2,771,291",16.68%,117
Spain,Residential and commercial,1996,"20,407,677",5.28%,"1,023,335","3,794,626",22.84%,123
Spain,Residential and commercial,1997,"20,522,184",0.56%,"114,506","3,909,132",23.53%,124
Spain,Residential and commercial,1998,"21,124,093",2.93%,"601,910","4,511,042",27.15%,127
Spain,Residential and commercial,1999,"22,525,328",6.63%,"1,401,235","5,912,277",35.59%,136
Spain,Residential and commercial,2000,"24,177,456",7.33%,"1,652,128","7,564,404",45.53%,146
Spain,Residential and commercial,2001,"25,060,361",3.65%,"882,905","8,447,309",50.85%,151
Spain,Residential and commercial,2002,"25,747,853",2.74%,"687,492","9,134,801",54.99%,155
Spain,Residential and commercial,2003,"26,793,819",4.06%,"1,045,967","10,180,768",61.28%,161
Spain,Residential and commercial,2004,"28,784,145",7.43%,"1,990,326","12,171,094",73.26%,173
Spain,Residential and commercial,2005,"29,846,037",3.69%,"1,061,892","13,232,986",79.65%,180
Spain,Residential and commercial,2006,"32,041,254",7.36%,"2,195,217","15,428,203",92.87%,193
Spain,Residential and commercial,2007,"29,716,021",-7.26%,"-2,325,233","13,102,969",78.87%,179
Spain,Residential and commercial,2008,"29,642,138",-0.25%,"-73,883","13,029,086",78.43%,178
Spain,Residential and commercial,2009,"30,057,695",1.40%,"415,557","13,444,643",80.93%,181
Spain,Residential and commercial,2010,"33,800,607",12.45%,"3,742,912","17,187,556",103.46%,203
Spain,Residential and commercial,2011,"30,895,904",-8.59%,"-2,904,703","14,282,852",85.97%,186
Spain,Residential and commercial,2012,"29,094,879",-5.83%,"-1,801,025","12,481,828",75.13%,175
Spain,Residential and commercial,2013,"26,110,559",-10.26%,"-2,984,321","9,497,507",57.17%,157
Spain,Residential and commercial,2014,"24,144,232",-7.53%,"-1,966,327","7,531,180",45.33%,145
Spain,Residential and commercial,2015,"27,501,663",13.91%,"3,357,431","10,888,611",65.54%,166
Spain,Residential and commercial,2016,"28,710,442",4.40%,"1,208,779","12,097,390",72.82%,173
Spain,Residential and commercial,2017,"26,629,445",-7.25%,"-2,080,997","10,016,394",60.29%,160
Spain,Residential and commercial,2018,"27,143,191",1.93%,"513,746","10,530,140",63.38%,163
Spain,Residential and commercial,2019,"24,703,676",-8.99%,"-2,439,516","8,090,624",48.70%,149
Spain,Residential and commercial,2020,"24,401,513",-1.22%,"-302,162","7,788,462",46.88%,147
Spain,Waste,1990,"124,379",-99.49%,"-24,277,134",0,0.00%,100
Spain,Waste,1991,"100,620",-19.10%,"-23,759","-23,759",-19.10%,81
Spain,Waste,1992,"115,913",15.20%,"15,293","-8,467",-6.81%,93
Spain,Waste,1993,"101,796",-12.18%,"-14,116","-22,583",-18.16%,82
Spain,Waste,1994,"91,383",-10.23%,"-10,413","-32,996",-26.53%,73
Spain,Waste,1995,"51,067",-44.12%,"-40,317","-73,313",-58.94%,41
Spain,Waste,1996,"42,104",-17.55%,"-8,963","-82,276",-66.15%,34
Spain,Waste,1997,"27,653",-34.32%,"-14,451","-96,727",-77.77%,22
Spain,Waste,1998,"22,520",-18.56%,"-5,133","-101,859",-81.89%,18
Spain,Waste,1999,"19,311",-14.25%,"-3,209","-105,068",-84.47%,16
Spain,Waste,2000,"14,472",-25.06%,"-4,839","-109,907",-88.36%,12
Spain,Waste,2001,"12,368",-14.54%,"-2,104","-112,011",-90.06%,10
Spain,Waste,2002,"12,367",-0.01%,-1,"-112,013",-90.06%,10
Spain,Waste,2003,"6,049",-51.09%,"-6,318","-118,330",-95.14%,5
Spain,Waste,2004,"1,336",-77.91%,"-4,713","-123,043",-98.93%,1
Spain,Waste,2005,841,-37.03%,-495,"-123,538",-99.32%,1
Spain,Waste,2006,,-100.00%,-841,,,
Spain,Waste,2007,,,0,,,
Spain,Waste,2008,,,0,,,
Spain,Waste,2009,,,0,,,
Spain,Waste,2010,,,0,,,
Spain,Waste,2011,,,0,,,
Spain,Waste,2012,,,0,,,
Spain,Waste,2013,,,0,,,
Spain,Waste,2014,,,0,,,
Spain,Waste,2015,,,0,,,
Spain,Waste,2016,"27,597",,"27,597","-96,783",-77.81%,22
Spain,Waste,2017,,-100.00%,"-27,597",,,
Spain,Waste,2018,,,0,,,
Spain,Waste,2019,,,0,,,
Spain,Waste,2020,,,0,,,
